Sentence #,Word,Tag
Sentence: 56,add,O
,Salil,B-artist
,Chowdhury,I-artist
,to,O
,my,B-playlist_owner
,35,B-playlist
,Soul,I-playlist
,Classics,I-playlist
,1970,I-playlist
,to,I-playlist
,1975,I-playlist
,playlsit,O
Sentence: 57,I,O
,need,O
,to,O
,add,O
,to,O
,the,O
,all,B-playlist
,things,I-playlist
,post,I-playlist
,starting,O
,with,O
,my,B-playlist_owner
,favorites,O
,from,O
,the,B-entity_name
,silence,I-entity_name
Sentence: 58,Add,O
,The,B-entity_name
,“Chirping”,I-entity_name
,Crickets,I-entity_name
,to,O
,my,B-playlist_owner
,Mellowed,B-playlist
,Out,I-playlist
,Gaming,I-playlist
,playlist,O
Sentence: 59,Add,O
,tune,B-music_item
,to,O
,Blues,B-playlist
Sentence: 60,I,O
,want,O
,the,O
,Turbonegro,B-artist
,album,B-music_item
,to,O
,go,O
,on,O
,the,O
,playlist,O
,called,O
,Genuine,B-playlist
,R&B,I-playlist
Sentence: 61,Add,O
,Munawar,B-artist
,Ali,I-artist
,Khan,I-artist
,to,O
,my,B-playlist_owner
,mujeres,B-playlist
,y,I-playlist
,hombres,I-playlist
,y,I-playlist
,fiesta,I-playlist
Sentence: 62,add,O
,tune,B-music_item
,to,O
,my,B-playlist_owner
,mellow,B-playlist
,bars,I-playlist
,playlist,O
Sentence: 63,Add,O
,mc,B-artist
,ren,I-artist
,to,O
,my,B-playlist_owner
,It's,B-playlist
,a,I-playlist
,Southern,I-playlist
,Thing,I-playlist
,playlist,O
Sentence: 64,Add,O
,this,O
,song,B-music_item
,to,O
,my,B-playlist_owner
,roadrunner,B-playlist
,rec,I-playlist
,new,I-playlist
,releases,I-playlist
,list.,O
Sentence: 65,add,O
,Curse,B-artist
,song,B-music_item
,to,O
,my,B-playlist_owner
,playlist,O
,Guest,B-playlist
,List,I-playlist
,Engadget,I-playlist
Sentence: 66,I,O
,need,O
,to,O
,add,O
,another,O
,track,B-music_item
,to,O
,my,B-playlist_owner
,cleaning,B-playlist
,playlist.,O
Sentence: 67,add,O
,this,O
,artist,B-music_item
,to,O
,my,B-playlist_owner
,80'S,B-playlist
,PARTY,I-playlist
Sentence: 68,Add,O
,gene,B-artist
,clark,I-artist
,to,O
,diann's,B-playlist_owner
,chill,B-playlist
,out,I-playlist
,list,O
Sentence: 69,Add,O
,a,O
,tune,B-music_item
,to,O
,rare,B-playlist
,groove,I-playlist
Sentence: 70,add,O
,hopeful,B-entity_name
,to,O
,my,B-playlist_owner
,this,B-playlist
,is,I-playlist
,enrique,I-playlist
,iglesias,I-playlist
Sentence: 71,add,O
,scott,B-artist
,putesky,I-artist
,to,O
,concentración,B-playlist
,indie,I-playlist
,rock,I-playlist
,playlist,O
Sentence: 72,A,O
,Shawnna,B-artist
,to,O
,the,O
,Warm,B-playlist
,Hearts,I-playlist
,Feel,I-playlist
,Good,I-playlist
,playlist.,O
Sentence: 73,add,O
,artist,B-music_item
,John,B-artist
,William,I-artist
,Boone,I-artist
,to,O
,my,B-playlist_owner
,life's,B-playlist
,short;,I-playlist
,play,I-playlist
,fast,I-playlist
,playlist,O
Sentence: 74,add,O
,jim,B-artist
,martin,I-artist
,to,O
,Deathcore,B-playlist
Sentence: 75,put,O
,this,O
,track,B-music_item
,on,O
,soul,B-playlist
,bpm,I-playlist
,my,B-playlist_owner
,playlist,O
Sentence: 76,add,O
,this,O
,artist,B-music_item
,named,O
,trevor,B-artist
,mcnevan,I-artist
,to,O
,the,O
,playlist,O
,top,B-playlist
,gaming,I-playlist
,tracks,I-playlist
Sentence: 77,Add,O
,Ashley,B-artist
,Cafagna,I-artist
,Tesoro,I-artist
,to,O
,my,B-playlist_owner
,reggae,B-playlist
,en,I-playlist
,español,I-playlist
,list,O
Sentence: 78,Add,O
,artist,B-music_item
,to,O
,playlist,O
,Classic,B-playlist
,Punk,I-playlist
Sentence: 79,Add,O
,a,O
,tune,B-music_item
,to,O
,my,B-playlist_owner
,elrow,B-playlist
,Guest,I-playlist
,List,I-playlist
Sentence: 80,I,O
,want,O
,to,O
,add,O
,Anna,B-artist
,Semenovich,I-artist
,to,O
,the,O
,dinner,B-playlist
,with,I-playlist
,friends,I-playlist
,playlist,O
Sentence: 81,Play,O
,Disco,B-entity_name
,Tango,I-entity_name
,to,O
,Power,B-playlist
,Walk,I-playlist
Sentence: 82,Add,O
,tune,B-music_item
,to,O
,my,B-playlist_owner
,Folk,B-playlist
,Music,I-playlist
,At,I-playlist
,The,I-playlist
,Gaslight,I-playlist
,Café,I-playlist
Sentence: 83,add,O
,this,O
,artist,B-music_item
,to,O
,romántica,B-playlist
Sentence: 84,Please,O
,add,O
,80s,B-playlist
,Classic,I-playlist
,Hits,I-playlist
,Asking,B-entity_name
,for,I-entity_name
,It,I-entity_name
,to,O
,my,B-playlist_owner
,playlist,O
Sentence: 85,add,O
,this,O
,artist,B-music_item
,to,O
,primavera,B-playlist
,sound,I-playlist
,2016,I-playlist
,barcelona,I-playlist
Sentence: 86,Add,O
,this,O
,album,B-music_item
,to,O
,Trotamundos,B-playlist
Sentence: 87,Add,O
,splendido,B-entity_name
,hotel,I-entity_name
,to,O
,my,B-playlist_owner
,verano,B-playlist
,forever,I-playlist
Sentence: 88,add,O
,lunacy,B-entity_name
,to,O
,my,B-playlist_owner
,chill,B-playlist
,out,I-playlist
,playlist,O
Sentence: 89,Add,O
,Without,B-entity_name
,Your,I-entity_name
,Love,I-entity_name
,to,O
,my,B-playlist_owner
,showstopper,B-playlist
,being,I-playlist
,mary,I-playlist
,jane,I-playlist
,list,O
Sentence: 90,Add,O
,this,O
,song,B-music_item
,to,O
,my,B-playlist_owner
,list,O
,Trabajo,B-playlist
,Relax,I-playlist
Sentence: 91,Add,O
,this,O
,track,B-music_item
,to,O
,my,B-playlist_owner
,Zen,B-playlist
,Focus,I-playlist
,playlist,O
Sentence: 92,add,O
,décadas,B-playlist
,to,O
,my,B-playlist_owner
,list,O
,Neo,B-artist
,da,I-artist
,Matrix,I-artist
Sentence: 93,The,O
,Zen,B-playlist
,Focus,I-playlist
,playlist,O
,needs,O
,David,B-artist
,Franj,I-artist
,in,O
,it.,O
Sentence: 94,put,O
,four,B-entity_name
,in,I-entity_name
,blue,I-entity_name
,onto,O
,Ultimate,B-playlist
,00s,I-playlist
,.,O
Sentence: 95,I,O
,want,O
,global,B-playlist
,top,I-playlist
,50,I-playlist
,to,O
,have,O
,marit,B-artist
,bergman,I-artist
,added,O
,to,O
,it.,O
Sentence: 96,add,O
,flying,B-entity_name
,to,O
,my,B-playlist_owner
,Women,B-playlist
,of,I-playlist
,Rock,I-playlist
,playlist,O
Sentence: 97,Add,O
,Gary,B-artist
,Valenciano,I-artist
,to,O
,the,O
,power,B-playlist
,gaming,I-playlist
,playlist.,O
Sentence: 98,Add,O
,track,B-music_item
,to,O
,Urban,B-playlist
,Poet,I-playlist
Sentence: 99,add,O
,country,B-entity_name
,favorites,I-entity_name
,willie,I-entity_name
,nelson,I-entity_name
,style,I-entity_name
,to,O
,my,B-playlist_owner
,playlist,O
,titled,O
,Spinnin',B-playlist
,Records,I-playlist
,Top,I-playlist
,100,I-playlist
Sentence: 100,add,O
,reggaeton,B-playlist
,classics,I-playlist
,in,O
,playlist,O
,jennie,B-entity_name
,jennie,I-entity_name
Sentence: 101,add,O
,this,O
,artist,B-music_item
,named,O
,Kirk,B-artist
,Hammett,I-artist
,to,O
,my,B-playlist_owner
,playlist,O
,Los,B-playlist
,40,I-playlist
,Radio,I-playlist
,Éxitos,I-playlist
Sentence: 102,Add,O
,to,O
,my,B-playlist_owner
,verano,B-playlist
,list,O
,a,O
,song,B-music_item
,by,O
,andy,B-artist
,lee,I-artist
Sentence: 103,add,O
,the,O
,artist,B-music_item
,to,O
,my,B-playlist_owner
,Spooning,B-playlist
,playlist,O
Sentence: 104,Add,O
,the,O
,tune,B-music_item
,to,O
,my,B-playlist_owner
,House,B-playlist
,Afterwork,I-playlist
,playlist.,O
Sentence: 105,add,O
,this,O
,artist,B-music_item
,to,O
,my,B-playlist_owner
,Sinfonía,B-playlist
,Hipster,I-playlist
Sentence: 106,I,O
,want,O
,to,O
,put,O
,Land,B-entity_name
,of,I-entity_name
,the,I-entity_name
,Dead,I-entity_name
,into,O
,my,B-playlist_owner
,Big,B-playlist
,Daddy's,I-playlist
,Booze,I-playlist
,&,I-playlist
,Blues,I-playlist
,playlist.,O
Sentence: 107,Can,O
,you,O
,put,O
,in,B-entity_name
,person,I-entity_name
,at,I-entity_name
,carnegie,I-entity_name
,hall,I-entity_name
,on,O
,my,B-playlist_owner
,winter,B-playlist
,playlist,O
Sentence: 108,Add,O
,I,B-entity_name
,Almost,I-entity_name
,Lost,I-entity_name
,My,I-entity_name
,Mind,I-entity_name
,to,O
,my,B-playlist_owner
,bossa,B-playlist
,nova,I-playlist
,dinner,I-playlist
,playlist.,O
Sentence: 109,Add,O
,another,O
,tune,B-music_item
,to,O
,my,B-playlist_owner
,Soft,B-playlist
,Rock,I-playlist
,playlist.,O
Sentence: 110,put,O
,this,O
,album,B-music_item
,on,O
,my,B-playlist_owner
,road,B-playlist
,trip,I-playlist
,playlist,O
Sentence: 111,Add,O
,Guy,B-artist
,Warren,I-artist
,to,O
,my,B-playlist_owner
,bossa,B-playlist
,nova,I-playlist
,dinner,I-playlist
,playlist.,O
Sentence: 112,Add,O
,another,O
,song,B-music_item
,to,O
,my,B-playlist_owner
,this,B-playlist
,is,I-playlist
,status,I-playlist
,quo,I-playlist
,playlist.,O
Sentence: 113,add,O
,this,O
,album,B-music_item
,to,O
,tgif,B-playlist
Sentence: 114,put,O
,dj,B-artist
,green,I-artist
,lantern,I-artist
,on,O
,my,B-playlist_owner
,Targeted,B-playlist
,playlist,O
Sentence: 115,Add,O
,Jermaine,B-artist
,Fagan,I-artist
,to,O
,spring,B-playlist
,music,I-playlist
Sentence: 116,add,O
,Black,B-entity_name
,Ribbons,I-entity_name
,to,O
,the,O
,autumn,B-playlist
,playlis,O
Sentence: 117,add,O
,Halfway,B-entity_name
,Between,I-entity_name
,Here,I-entity_name
,and,I-entity_name
,There,I-entity_name
,to,O
,my,B-playlist_owner
,canadian,B-playlist
,country,I-playlist
,playlist,O
Sentence: 118,add,O
,No,B-artist
,Secrets,I-artist
,to,O
,power,B-playlist
,gaming,I-playlist
,playlist,O
Sentence: 119,add,O
,Split,B-entity_name
,the,I-entity_name
,Difference,I-entity_name
,to,O
,my,B-playlist_owner
,Women's,B-playlist
,Lit,I-playlist
,playlist,O
Sentence: 120,put,O
,Joseph,B-artist
,Utsler,I-artist
,on,O
,All,B-playlist
,Out,I-playlist
,70s,I-playlist
Sentence: 121,Put,O
,a,O
,track,B-music_item
,by,O
,lil,B-artist
,mama,I-artist
,into,O
,my,B-playlist_owner
,guest,B-playlist
,list,I-playlist
,sneaky,I-playlist
,zebra,I-playlist
,playlist.,O
Sentence: 122,I,O
,would,O
,like,O
,Ignacio,B-artist
,Figueredo,I-artist
,'s,O
,tune,B-music_item
,added,O
,to,O
,electroNOW,B-playlist
,.,O
Sentence: 123,add,O
,a,B-entity_name
,shot,I-entity_name
,at,I-entity_name
,glory,I-entity_name
,to,O
,calm,B-playlist
,before,I-playlist
,the,I-playlist
,storm,I-playlist
Sentence: 124,add,O
,tune,B-music_item
,Digster,B-playlist
,Reggae,I-playlist
Sentence: 125,Add,O
,an,O
,artist,B-music_item
,to,O
,my,B-playlist_owner
,playlist,O
,Domingo,B-playlist
,Indie,I-playlist
Sentence: 126,put,O
,a,O
,xiang,B-artist
,xiang,I-artist
,track,B-music_item
,onto,O
,women,B-playlist
,of,I-playlist
,the,I-playlist
,blues,I-playlist
Sentence: 127,add,O
,this,O
,artist,B-music_item
,to,O
,sunshine,B-playlist
,reggae,I-playlist
Sentence: 128,put,O
,this,O
,tune,B-music_item
,on,O
,my,B-playlist_owner
,your,B-playlist
,favorite,I-playlist
,coffeehouse,I-playlist
,playlist,O
Sentence: 129,add,O
,this,O
,artist,B-music_item
,to,O
,the,O
,playlist,O
,cool,B-playlist
,jazz,I-playlist
Sentence: 130,add,O
,cliffs,B-entity_name
,of,I-entity_name
,dooneen,I-entity_name
,in,O
,playlist,O
,Lo,B-playlist
,Que,I-playlist
,Suena,I-playlist
,Los,I-playlist
,Angeles,I-playlist
Sentence: 131,add,O
,pangaea,B-entity_name
,to,O
,my,B-playlist_owner
,Gold,B-playlist
,Edition,I-playlist
,playlist,O
Sentence: 132,Add,O
,album,B-music_item
,to,O
,my,B-playlist_owner
,grandes,B-playlist
,unplugged,I-playlist
Sentence: 133,Can,O
,50,B-entity_name
,minute,I-entity_name
,technicolor,I-entity_name
,dream,I-entity_name
,be,O
,added,O
,to,O
,meredith's,B-playlist_owner
,Cierra,B-playlist
,La,I-playlist
,Puerta,I-playlist
,playlist?,O
Sentence: 134,Add,O
,judge,B-artist
,jules,I-artist
,to,O
,instrumental,B-playlist
,study,I-playlist
Sentence: 135,Add,O
,Roots,B-entity_name
,of,I-entity_name
,the,I-entity_name
,Outsiders,I-entity_name
,to,O
,Blues,B-playlist
,Roots,I-playlist
Sentence: 136,add,O
,artist,B-music_item
,Fabri,B-artist
,Fibra,I-artist
,to,O
,This,B-playlist
,Is,I-playlist
,Earth,I-playlist
,Wind,I-playlist
,&,I-playlist
,Fire,I-playlist
Sentence: 137,include,O
,pat,B-artist
,smear,I-artist
,on,O
,Guest,B-playlist
,List,I-playlist
,Engadget,I-playlist
Sentence: 138,add,O
,track,B-music_item
,to,O
,my,B-playlist_owner
,Cloud,B-playlist
,Rap,I-playlist
Sentence: 139,I,O
,need,O
,to,O
,add,O
,a,O
,song,B-music_item
,to,O
,my,B-playlist_owner
,lo,B-playlist
,que,I-playlist
,suena,I-playlist
,new,I-playlist
,york,I-playlist
,playlist.,O
Sentence: 140,add,O
,dan,B-artist
,the,I-artist
,automator,I-artist
,to,O
,forever,B-playlist
,country,I-playlist
Sentence: 141,put,O
,this,O
,song,B-music_item
,on,O
,the,O
,Chips,B-playlist
,and,I-playlist
,Salsa,I-playlist
,playlist,O
Sentence: 142,put,O
,this,O
,song,B-music_item
,by,O
,rayvon,B-artist
,on,O
,my,B-playlist_owner
,all,B-playlist
,out,I-playlist
,80s,I-playlist
,playlist,O
Sentence: 143,The,B-playlist
,Sleep,I-playlist
,Machine,I-playlist
,Waterscapes,I-playlist
,playlist,O
,needs,O
,some,O
,kris,B-artist
,chetan,I-artist
,ramlu,I-artist
,in,O
,it.,O
Sentence: 144,Add,O
,teriazume,B-entity_name
,to,O
,the,O
,nação,B-playlist
,reggae,I-playlist
,playlist,O
Sentence: 145,Add,O
,shot,B-entity_name
,forth,I-entity_name
,self,I-entity_name
,living,I-entity_name
,to,O
,my,B-playlist_owner
,Folk,B-playlist
,Metal,I-playlist
,Warriors,I-playlist
,playlist.,O
Sentence: 146,Add,O
,Jack,B-entity_name
,Be,I-entity_name
,Nimble,I-entity_name
,to,O
,my,B-playlist_owner
,reggae,B-playlist
,bombastic,I-playlist
,list,O
Sentence: 147,Add,O
,this,O
,song,B-music_item
,to,O
,my,B-playlist_owner
,fairy,B-playlist
,tales,I-playlist
Sentence: 148,add,O
,a,O
,new,B-playlist
,entry,O
,for,O
,mon,B-entity_name
,beau,I-entity_name
,sapin,I-entity_name
,in,O
,lela's,B-playlist_owner
,música,B-playlist
,libre,I-playlist
,playlist,O
Sentence: 149,Can,O
,you,O
,add,O
,Blood,B-entity_name
,On,I-entity_name
,The,I-entity_name
,Face,I-entity_name
,to,O
,the,O
,playlist,O
,called,O
,Heartland,B-playlist
,Country,I-playlist
Sentence: 150,add,O
,song,B-music_item
,to,O
,This,B-playlist
,Is,I-playlist
,Philip,I-playlist
,Glass,I-playlist
Sentence: 151,Add,O
,what,B-entity_name
,child,I-entity_name
,is,I-entity_name
,this,I-entity_name
,to,O
,Dark,B-playlist
,Dance,I-playlist
,Floors,I-playlist
Sentence: 152,Add,O
,ana,B-artist
,carolina,I-artist
,to,O
,chill,B-playlist
Sentence: 153,I,O
,want,O
,4813,B-entity_name
,added,O
,to,O
,my,B-playlist_owner
,Rhythm,B-playlist
,and,I-playlist
,Blues,I-playlist
,playlist,O
Sentence: 154,Add,O
,this,O
,artist,B-music_item
,to,O
,my,B-playlist_owner
,Post-grunge,B-playlist
,playlist,O
Sentence: 155,Add,O
,the,O
,album,B-music_item
,to,O
,rosanna's,B-playlist_owner
,ejercicio,B-playlist
,playlist.,O
Sentence: 156,I,O
,want,O
,to,O
,add,O
,something,O
,by,O
,the,O
,artist,B-music_item
,Nadine,B-artist
,to,O
,my,B-playlist_owner
,Workday,B-playlist
,–,I-playlist
,Pop,I-playlist
,playlist,O
Sentence: 157,add,O
,this,O
,track,B-music_item
,to,O
,anne's,B-playlist_owner
,playlist,O
,named,O
,Just,B-playlist
,Smile,I-playlist
Sentence: 158,add,O
,the,O
,album,B-music_item
,to,O
,my,B-playlist_owner
,Latin,B-playlist
,Pop,I-playlist
,Rising,I-playlist
,playlist,O
Sentence: 159,Open,O
,my,B-playlist_owner
,acoustic,B-playlist
,concentration,I-playlist
,playlist,O
,and,O
,play,O
,an,O
,entire,O
,album,B-music_item
Sentence: 160,Add,O
,venedig,B-entity_name
,im,I-entity_name
,regen,I-entity_name
,to,O
,this,B-playlist
,is,I-playlist
,Maxwell,I-playlist
Sentence: 161,Add,O
,this,O
,tune,B-music_item
,to,O
,the,O
,Heavy,B-playlist
,Gamer,I-playlist
,playlist.,O
Sentence: 162,add,O
,this,O
,artist,B-music_item
,to,O
,Spain,B-playlist
,Top,I-playlist
,50,I-playlist
Sentence: 163,Add,O
,Warning,B-entity_name
,Device,I-entity_name
,to,O
,my,B-playlist_owner
,mac,B-playlist
,'n,I-playlist
,cheese,I-playlist
,playlist.,O
Sentence: 164,add,O
,Give,B-entity_name
,Us,I-entity_name
,Rest,I-entity_name
,to,O
,my,B-playlist_owner
,Very,B-playlist
,Nearly,I-playlist
,Nashville,I-playlist
,playlist,O
Sentence: 165,add,O
,this,O
,tune,B-music_item
,by,O
,harry,B-artist
,connick,I-artist
,jr,I-artist
,to,O
,my,B-playlist_owner
,jazz,B-playlist
,brasileiro,I-playlist
,playlist,O
Sentence: 166,Add,O
,the,O
,Beatles,O
,tune,B-music_item
